label,statement,cleaned_statement,label_encoded,binary_label
half-true,Says Democratic Senate candidate Bruce Braley voted to cut $700 billion from Medicare to support Obamacare.,says democratic senate candidate bruce braley voted to cut  billion from medicare to support obamacare,2,1
half-true,Preventive care coverage under the Affordable Care Act has already helped Granite Staters save money and live healthier lives.,preventive care coverage under the affordable care act has already helped granite staters save money and live healthier lives,2,1
barely-true,Says 25 percent of U.S. Muslims agreed that violence against Americans here in the United States is justified as a part of the global jihad.,says  percent of us muslims agreed that violence against americans here in the united states is justified as a part of the global jihad,0,0
false,"1928 was last time Republicans had the White House, the House and the Senate.",was last time republicans had the white house the house and the senate,1,0
false,Hillary Clinton and Barack Obama want to raise taxes on all income brackets.,hillary clinton and barack obama want to raise taxes on all income brackets,1,0
false,U.S. Sen. Saxby Chambliss votes more with Democrats than with conservatives.,us sen saxby chambliss votes more with democrats than with conservatives,1,0
true,"For the second quarter in a row, my campaign has raised more money than any other challenger in the nation and brought our fundraising total to over $800,000.",for the second quarter in a row my campaign has raised more money than any other challenger in the nation and brought our fundraising total to over,5,1
barely-true,Says the recall elections that aimed to remove him and other Republican officials from office cost tens of millions of dollars to run.,says the recall elections that aimed to remove him and other republican officials from office cost tens of millions of dollars to run,0,0
mostly-true,"In Wisconsin, only half of all the adults with serious psychological distress received mental health treatment or medication.",in wisconsin only half of all the adults with serious psychological distress received mental health treatment or medication,3,1
true,She stood by ground zero workers who sacrificed their health after so many sacrificed their lives and kept standing till this administration took action.,she stood by ground zero workers who sacrificed their health after so many sacrificed their lives and kept standing till this administration took action,5,1
pants-fire,"On gift taking,Bob McDonnell took a fraction of what (Tim) Kaine took.",on gift takingbob mcdonnell took a fraction of what tim kaine took,4,0
false,This is the first time since World War II that five nuclear-powered aircraft carriers were docked together.,this is the first time since world war ii that five nuclearpowered aircraft carriers were docked together,1,0
mostly-true,"While Exxon Mobil has 40 pages on its media response strategy, its plan for resource protection is only five pages long and its plan for oil removal is just nine pages long.",while exxon mobil has  pages on its media response strategy its plan for resource protection is only five pages long and its plan for oil removal is just nine pages long,3,1
